zip,area_name,metro
91775,East San Gabriel,los-angeles_long-beach_anaheim
91776,San Gabriel,los-angeles_long-beach_anaheim
91780,Temple City,los-angeles_long-beach_anaheim
91789,Walnut,los-angeles_long-beach_anaheim
91790,West Covina,los-angeles_long-beach_anaheim
91791,West Covina,los-angeles_long-beach_anaheim
91792,West Covina,los-angeles_long-beach_anaheim
91801,Alhambra,los-angeles_long-beach_anaheim
91803,Alhambra,los-angeles_long-beach_anaheim
92602,Irvine,los-angeles_long-beach_anaheim
92603,Irvine,los-angeles_long-beach_anaheim
92604,Irvine,los-angeles_long-beach_anaheim
92606,Irvine,los-angeles_long-beach_anaheim
92610,Lake Forest,los-angeles_long-beach_anaheim
92612,Irvine,los-angeles_long-beach_anaheim
92614,Irvine,los-angeles_long-beach_anaheim
92617,Irvine,los-angeles_long-beach_anaheim
92618,Irvine,los-angeles_long-beach_anaheim
92620,Irvine,los-angeles_long-beach_anaheim
92624,Dana Point,los-angeles_long-beach_anaheim
92625,Newport Beach,los-angeles_long-beach_anaheim
92626,Costa Mesa,los-angeles_long-beach_anaheim
92627,Costa Mesa,los-angeles_long-beach_anaheim
92629,Dana Point,los-angeles_long-beach_anaheim
92630,Lake Forest,los-angeles_long-beach_anaheim
92637,Laguna Woods,los-angeles_long-beach_anaheim
92646,Huntington Beach,los-angeles_long-beach_anaheim
92647,Huntington Beach,los-angeles_long-beach_anaheim
92648,Huntington Beach,los-angeles_long-beach_anaheim
92649,Huntington Beach,los-angeles_long-beach_anaheim
92651,Laguna Beach,los-angeles_long-beach_anaheim
92653,Laguna Hills,los-angeles_long-beach_anaheim
92655,Midway City,los-angeles_long-beach_anaheim
92656,Aliso Viejo,los-angeles_long-beach_anaheim
92657,Newport Beach,los-angeles_long-beach_anaheim
92660,Newport Beach,los-angeles_long-beach_anaheim
92661,Newport Beach,los-angeles_long-beach_anaheim
92662,Newport Beach,los-angeles_long-beach_anaheim
92663,Newport Beach,los-angeles_long-beach_anaheim
92672,San Clemente,los-angeles_long-beach_anaheim
92673,San Clemente,los-angeles_long-beach_anaheim
92675,San Juan Capistrano,los-angeles_long-beach_anaheim
92676,Silverado,los-angeles_long-beach_anaheim
92677,Laguna Niguel,los-angeles_long-beach_anaheim
92678,Trabuco Canyon,los-angeles_long-beach_anaheim
92679,Coto de Caza,los-angeles_long-beach_anaheim
92683,Westminster,los-angeles_long-beach_anaheim
92688,Rancho Santa Margarita,los-angeles_long-beach_anaheim
92691,Mission Viejo,los-angeles_long-beach_anaheim
92692,Mission Viejo,los-angeles_long-beach_anaheim
92694,Ladera Ranch,los-angeles_long-beach_anaheim
92701,Santa Ana,los-angeles_long-beach_anaheim
92703,Santa Ana,los-angeles_long-beach_anaheim
92704,Santa Ana,los-angeles_long-beach_anaheim
92705,Santa Ana,los-angeles_long-beach_anaheim
92706,Santa Ana,los-angeles_long-beach_anaheim
92707,Santa Ana,los-angeles_long-beach_anaheim
92708,Fountain Valley,los-angeles_long-beach_anaheim
92780,Tustin,los-angeles_long-beach_anaheim
92782,Tustin,los-angeles_long-beach_anaheim
92801,Anaheim,los-angeles_long-beach_anaheim
92802,Anaheim,los-angeles_long-beach_anaheim
92804,Anaheim,los-angeles_long-beach_anaheim
92805,Anaheim,los-angeles_long-beach_anaheim
92806,Anaheim,los-angeles_long-beach_anaheim
92807,Anaheim,los-angeles_long-beach_anaheim
92808,Anaheim,los-angeles_long-beach_anaheim
92821,Brea,los-angeles_long-beach_anaheim
92823,Brea,los-angeles_long-beach_anaheim
92831,Fullerton,los-angeles_long-beach_anaheim
92832,Fullerton,los-angeles_long-beach_anaheim
92833,Fullerton,los-angeles_long-beach_anaheim
92835,Fullerton,los-angeles_long-beach_anaheim
92840,Garden Grove,los-angeles_long-beach_anaheim
92841,Garden Grove,los-angeles_long-beach_anaheim
92843,Garden Grove,los-angeles_long-beach_anaheim
92844,Garden Grove,los-angeles_long-beach_anaheim
92845,Garden Grove,los-angeles_long-beach_anaheim
92861,Villa Park,los-angeles_long-beach_anaheim
92865,Orange,los-angeles_long-beach_anaheim
92866,Orange,los-angeles_long-beach_anaheim
92867,Orange,los-angeles_long-beach_anaheim
92868,Orange,los-angeles_long-beach_anaheim
92869,Orange,los-angeles_long-beach_anaheim
92870,Placentia,los-angeles_long-beach_anaheim
92886,Yorba Linda,los-angeles_long-beach_anaheim
92887,Yorba Linda,los-angeles_long-beach_anaheim
93510,Acton,los-angeles_long-beach_anaheim
93532,Elizabeth Lake,los-angeles_long-beach_anaheim
93534,Lancaster,los-angeles_long-beach_anaheim
93535,Lancaster,los-angeles_long-beach_anaheim
93536,Lancaster,los-angeles_long-beach_anaheim
93543,Sun Village,los-angeles_long-beach_anaheim
93544,Llano,los-angeles_long-beach_anaheim
